Name,Comment_text,Time,Likes,Reply Count
MSuleman,<b>Plz poora parhna</b><br /><br /><br /><br />Yar mujhe ap logon pe ghusa ata hai <br />Wo singer pagal insan kya keh raha hai<br />Kabhi note ki ap ne <br />Kay koi aisa dard de nikal jai jaan <br />Kiya inte chootay bachay ho kay matlab nahin jantay <br />Yani tum Allah se ye keh rahe ho kay hame koi aisa dard de jise jaan nikal jai<br />Geo walon ke pass tu kuch aur nahin dekhanay ko kuch tu kuch tum hi Allah Ka Khof Karo <br />Message ko dobaara copy paste karo plz,2021-03-24T20:04:29Z,1,0
Zeeshan.chuhan Ilove1122,I love this song,2021-03-24T18:53:15Z,1,0
Sabah Waqas,Outstanding I love it from UAE,2021-03-24T18:46:09Z,0,0
Mian Hasham,Nice song,2021-03-24T18:42:54Z,0,0
Ali Shah 0786,l love this song,2021-03-24T18:40:22Z,0,0
Shahana Sagheer,There should be more clips of hamza&#39;s fab actin in this song because wahaj acting is on next level ufhhhhh😍😍😍😍😍😍😍,2021-03-24T18:17:17Z,0,0
Amani.adnan Ahmedaaa,SUPER.  THIS. Love. SONG 😭😭😭😭😭😭😭😭😭😭😭,2021-03-24T18:07:01Z,0,0
manpreet kaur,awesome song...,2021-03-24T17:23:04Z,1,0
Shoaib Bhatti,Wo mila q tha agr ussy bichharna tha ... heart touching line❤️❤️❤️,2021-03-24T16:55:36Z,1,0
steel co.,I recommend munafiq drama is so beautiful,2021-03-24T16:40:21Z,0,0
Mahwish Robin,Tell me truth guys kis kis ko yd agi apney Pyaar ki answer me in comments,2021-03-24T16:24:54Z,0,0
FATIMA GAMER,Nice song ha kis kis ko Achi laga bana ok mujhe to  both achi la ga 😍😘❤,2021-03-24T16:06:41Z,0,0
junaid haroon,very very nice 👍👍👍👍👍❤️ naghma Haroon,2021-03-24T16:03:17Z,0,0
Jiya Khubber,11,2021-03-24T15:48:58Z,0,0
Hiba Khan,😦😦😦😞,2021-03-24T15:18:42Z,1,1
Rahis Rahis,Is song ko me din me kamse kam 20 baar sunti hun i love song ekdam feeling ke shat sunti hun me ye song supper nice 😇😘😍,2021-03-24T14:52:02Z,0,0
Self Phone,👌👌👌👌👌👌👌👌👌👌👌👌👌👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2021-03-24T14:36:56Z,1,0
Fouzia Mohammadi,Masha alha ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,2021-03-24T14:31:53Z,0,0
cricket point,Its song is  very lovely and charactor is also lovely,2021-03-24T14:27:34Z,0,0
syed nooruddin,Love from INDIA,2021-03-24T13:55:24Z,2,0
Suzaina Saeed,I&#39;m in love with thiz Ost .. Just lovein&#39; it.. 😍,2021-03-24T13:37:57Z,2,0
PRG FARIQ,Nice,2021-03-24T13:14:48Z,0,0
kuch bhi,Dilnashee is very beautiful and preety 💞,2021-03-24T12:34:16Z,1,0
kuch bhi,Good song❤️,2021-03-24T12:33:43Z,0,0
Mehar Noman,Fitoor,2021-03-24T12:32:58Z,0,0
Nazia Munazir,Nice song 😕😕,2021-03-24T12:29:42Z,1,0
Mohd Amer,Very beautiful song  i love song,2021-03-24T12:27:08Z,0,0
ٹڑغ ٹڑغ,Hamza aor Dil nasheen ko ek hona   he acha hoga,2021-03-24T11:43:54Z,0,0
Bethi Zaman,vaitomnagood,2021-03-24T11:27:47Z,0,0
iqbal khatri,yaar woh tu sahi hai magar ye batein kise song ke neche mat lekna,2021-03-24T11:12:58Z,1,0
Farooq zargar,👌❣️❣️❣️❣️❣️💛,2021-03-24T11:11:31Z,0,0
Ibrahim Ansari,Bhot bhari song hai,2021-03-24T10:37:54Z,0,0
Yasar Shoukat,Koe asa dard dy nikal jae jan,2021-03-24T10:34:05Z,0,0
Khatak Khattak,My favorite drama❤️,2021-03-24T10:22:53Z,0,0
Subhan Jabbar,Yar ye song kamal yar ab kya kahun alfaz hi ni ha music awaz kamal ha ❗❗❗,2021-03-24T10:13:33Z,0,0
Noor Ali,"Faisal Quraishi, Wahaj Ali, Hiba Bhukhari, Kiran Haqq All are amazing  , Fabulous, And this song , it&#39;s lyrics it&#39;s music and it&#39;s story all are good there&#39;s nothing fault in this drama  .... Song, story, characters, acting all are Fabulous and awesome ...",2021-03-24T09:36:13Z,2,0
Karimul Karimul,I am watching from Bangladesh,2021-03-24T09:25:15Z,2,0
Lex Louisiana,Wao heart touching song my love,2021-03-24T09:12:32Z,0,0
Fjf Ffrh,muhabbat kiya hoti hs,2021-03-24T08:28:03Z,0,0
Fjf Ffrh,Yeh nahi hona cahiya,2021-03-24T08:23:48Z,0,0
Shageefa Mansoori,Ye song Pakistan🇵🇰 se jyada India🇮🇳 me suna Jaata Hai... 🤣🤣,2021-03-24T08:18:06Z,1,0
hamza hameed,Koi asa drd de nikl jy jaaan...,2021-03-24T07:36:09Z,0,0
hamza hameed,Koi asa drd de nikl jy jaaan...,2021-03-24T07:35:59Z,0,0
king h599,G oye,2021-03-24T07:01:08Z,1,0
Galaxy J4,I can stop crying I love this and I really love this I know this everyday I see this drama all the time in this host host,2021-03-24T06:55:28Z,0,0
Shabista Parveen,I have never seen this type of drama really it was so amazing and only broken heart can understand this song,2021-03-24T06:05:15Z,0,0
mfanonyms,My fev song and drama...,2021-03-24T05:57:24Z,1,0
سلا Khan,ـ💔😓😓😓💔,2021-03-24T05:47:00Z,0,0
Sania Mazher,Fully Alla,2021-03-24T05:44:14Z,0,0
Hasham Asif,Nice😃😃,2021-03-24T04:24:36Z,0,0
Rashda Amin,Thanks too you 👌👌👌👌👌,2021-03-23T22:52:06Z,0,0
Rashda Amin,Fasal qurashes best is heart hits wonderful Star 🌟 natural,2021-03-23T22:51:47Z,1,0
Abdullah Abdullah,kamaaal ka hai song b drama,2021-03-23T21:41:37Z,0,0
Prava Bantawa,&quot;Tammanah kyui jeene ki agar wahi mera na tha &quot; this lines hit me so hard...can feel it....!!,2021-03-23T21:14:50Z,2,0
Shaikh Tabassum,Har words ma dard ha,2021-03-23T21:09:32Z,0,0
Ahmad Awan,Ktum kar di voice...👌👌,2021-03-23T20:30:10Z,0,0
Azan Raza,So miss you 😯😯😯😯😔,2021-03-23T19:35:43Z,0,0
Sammy Kid,Lyrics is awsom3,2021-03-23T19:34:37Z,0,0
small aseel chicks,Insaan akela ho or barish ho rhi ho koi bhi na ho or wo a kr galay lga la,2021-03-23T19:12:18Z,0,0
small aseel chicks,Pakistan sa zaida best song koi ni bna sakta agree 👌,2021-03-23T19:07:13Z,3,1
Harf E Aam,Dil toots 💔💔,2021-03-23T18:57:59Z,0,0
choudhri tariq,what a lyrics so amazing 💕,2021-03-23T18:54:04Z,0,0
WANIYA DOLL,"بس اس طرح میں نے اپنی زندگی کو آسان کر لیا<br />کسی سے معافی مانگ لی، کسی کو معاف کر دیا<br />PTA NAHI YAAR . jin logo par hum aytaabr kar k jina sihkty hain wo log hamra aytaabar tu torty hain hain lakin sth hi sth akele jina b  shika dy ty hain",2021-03-23T18:32:32Z,0,0
Sadia Mizan,Amit i miss you,2021-03-23T18:06:14Z,0,0
Ayesha Raj,Hart touching song😔😥😥,2021-03-23T18:06:07Z,0,0
Muskan Muskan,Soooo beutifull song,2021-03-23T17:17:48Z,0,0
Urooj Malik,😭😭😭💔💔💔 hyyyy buhut mushkil ha is ko mene aj subh deka  but mery anso ab b nhe ruk rahy 😭😭😭is ka drd wo janny jes p guzry ye waqt,2021-03-23T16:35:12Z,0,0
Raja Mota,14 kab aiyaga pls comment me batye,2021-03-23T16:18:28Z,0,0
Mohammad Jamshaid,Koi aisa deed de nikl jae jan,2021-03-23T16:06:56Z,0,0
Mohammad Jamshaid,Tanana q the Keene ki AGR wohe mera na tha,2021-03-23T16:06:28Z,0,0
Mohammad Jamshaid,Muqader dil ka tha shàed mujhe akhir bikherna tha,2021-03-23T16:05:49Z,1,0
Mohammad Jamshaid,WO mila q that AGR us we bicherna tha,2021-03-23T16:05:00Z,0,0
beauty girl,"Love for,<br />Khuda Aur Mohabbat OST--80%<br />Fitoor OST-90%❤",2021-03-23T15:50:17Z,0,0
beauty girl,"Love for,<br />Khuda Aur Mohabbat OST--80%<br />Fitoor OST-90%❤ this song&#39;s instrumental tunes are great!",2021-03-23T15:49:35Z,0,0
MB Jarwar,😂❤❤❤❤❤😍😍😍,2021-03-23T15:47:49Z,0,0
Tanveer Sgd,Love u my pakistani singers what a voice and lyrics love this song,2021-03-23T15:03:57Z,0,0
sona Saifi,khuda tala ne mere dil m uske liye itna pyr q dala yrrrr jb usko meri kdr nhi 😭😭😭😭😭,2021-03-23T14:52:13Z,9,0
Muhammad Danish,Wao yr heart touching song<br />😑😑😑😑,2021-03-23T13:16:42Z,0,0
Nisho Jaan,Is bhains p itna make kr k kia mila?ivet age.,2021-03-23T13:16:33Z,0,0
PRG FARIQ,❤❤❤❤❤❤❤❤❤💯💯💯💯💯,2021-03-23T13:12:39Z,0,0
PRG FARIQ,❤❤❤❤❤❤❤❤❤💯💯💯💯💯,2021-03-23T13:12:27Z,0,0
PRG FARIQ,❤❤❤❤💯💯💯💯💯,2021-03-23T13:12:11Z,0,0
PRG FARIQ,❤❤❤❤❤❤❤❤❤❤❤❤,2021-03-23T13:12:00Z,0,0
PRG FARIQ,❤❤❤❤❤❤❤❤💯💯💯💯💯💯💯💯💯,2021-03-23T13:11:50Z,0,0
PRG FARIQ,💯💯💯💯💯💯💯💯💯💯,2021-03-23T13:11:41Z,0,0
PRG FARIQ,❤❤❤❤❤❤❤,2021-03-23T13:11:31Z,0,0
PRG FARIQ,❤❤❤❤❤❤❤❤,2021-03-23T13:11:12Z,0,0
PRG FARIQ,💯💯💯💯💯💯💯💯,2021-03-23T13:10:55Z,0,0
PRG FARIQ,❤❤❤❤❤❤❤❤,2021-03-23T13:10:49Z,0,0
PRG FARIQ,Mashaallah,2021-03-23T13:10:16Z,0,0
Ayesha ASMR,one of my favorite song,2021-03-23T12:22:12Z,0,0
Aftab Khan,Love you too baby girl and you Mera shahzada,2021-03-23T12:10:00Z,0,0
Ishrat Bano,Uuuufffff❤️❤️❤️❤️❤️❤️,2021-03-23T11:06:48Z,0,0
Farwa jafti,Amazing song,2021-03-23T10:48:18Z,0,0
esha zeenat,Ma na is drama ki 13 episode Ak he din ma dakhi or bht ROI Mai,2021-03-23T10:34:30Z,0,0
Umar Hassan,I love this music,2021-03-23T10:15:35Z,0,0
irfan ullah,I love you,2021-03-23T10:01:24Z,0,0
Tanvir Rahman,Most heart touching song❤,2021-03-23T09:20:44Z,0,0
Hamza Sabir,😢😢😢😢😢😢,2021-03-23T08:56:51Z,1,0
Sajjid Ali,Hiba is very nice,2021-03-23T08:42:11Z,0,0
Fazeelat Saleem,Fiza na sa for,2021-03-23T08:28:15Z,0,0
Zayn,official :--    7.7M Views :3 week<br />Ayat Arif :-   8.3M Views :3week<br /><br />wao Ayat Arif,2021-03-23T08:26:05Z,3,1
Mohd Ashraf Alam,Nice sot,2021-03-23T07:16:14Z,0,0
Maha Malik,"Fav song 🤩,",2021-03-23T06:22:44Z,0,0
Review Zone,Usey 100 dafa pukara hai دل ne magar<br />Mere dil ki baat wo sun na saka 😔😔😔😔😔,2021-03-23T05:22:02Z,0,0
Liaqut Hussain,❤️,2021-03-23T04:24:27Z,0,0
Arfa Asghar,😭😢🥺😩,2021-03-23T03:57:34Z,1,0
Mohammad Bilal,اس ڈرامہ کی الگ ہی کلاس ہے,2021-03-23T00:19:10Z,0,0
Mohammad Bilal,جیو کو کرن حق کا نام بھی لکھنا چاہیئے تھا❤,2021-03-23T00:18:34Z,0,0
Raja Arsalan,wahaj ali is so handsome and beautiful,2021-03-22T21:37:24Z,0,0
Shahina Baig,Superb.,2021-03-22T21:13:58Z,0,0
Sophiee Jan,Love this song💓,2021-03-22T20:27:48Z,0,0
Sakina Ali,My fvt song❤️❤️,2021-03-22T20:07:50Z,0,0
Abu Bakar,This is not just a song it&#39;s emotions...! Broken heart,2021-03-22T20:02:53Z,0,0
MY CHANNEL MUHAMMAD HAMZA,Please drame ko regular karde.,2021-03-22T19:40:24Z,1,0
Atif Qureshi,Superb....Amazingly amazing❤Pakistani OST and Videos are amazing love this song,2021-03-22T19:26:49Z,0,0
Aneesa Habib,I love this song💖💖💖💗💗💗💝💝💛💛,2021-03-22T19:04:08Z,0,0
Sana Afrin,Aisa q hota hai jo jis jitna pyar karta h wo aalag q ho jate h,2021-03-22T18:25:58Z,0,0
Shenuma Bano,Plzzz uploade all episode of fitoor plzzzzzzzzzz ese aadhe adhe Mt post kiya krooo,2021-03-22T18:22:55Z,0,0
Shifa Khan,Koi dard aisa de jisse nikal jaye jaan ❤️😔,2021-03-22T17:47:30Z,1,0
Tasneem Ansari,My fvt song😘😘😘,2021-03-22T17:34:51Z,1,0
Tri Editx,faisal kaila(banana),2021-03-22T17:16:37Z,0,0
Shafaullah Awan,Muhabbat hoi . bari mushkil say shadi hoi . larai hoi. Phir talaq hoi<br />bhai jan ye kia hai . koi sabaq de hame.all dramas are same .Koi asa <br />Drama ho jo kisi ki zindgi ko sanwar sakay.koi asi bat jo hamin islam ki taraf lay jae. Kyo itna paisa barbad krtay hai?,2021-03-22T17:06:59Z,1,1
Aakash Chouhan,No word&#39;s yrr speechless💕 lot&#39;s of love from 🇮🇳,2021-03-22T16:56:50Z,1,0
Abrar Fayax,Kon kon mere tarah rooz yeh sunta hai💖💟💞💝💘💗,2021-03-22T16:31:34Z,8,2
queen girl,Hayeee kia song ha bilkul meri tarha💔💔😢,2021-03-22T16:27:31Z,0,0
